contrast	set	query_symbol	matrix_symbol	log2fc
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IRF1	IRF1	0.1772
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IRF2	IRF2	-0.0323
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IRF3	IRF3	-0.1169
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IRF4	MUM1	-0.1658
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IRF5	IRF5	-0.0246
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IRF6	IRF6	1.2680
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	ISG15	ISG15	-0.1060
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	ISG20	ISG20	-1.0608
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	JAK1	JAK1	-0.2044
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	KPNA1	KPNA1	0.1404
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	KPNB1	KPNB1	-0.2429
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	OAS3	OAS3	0.5897
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	PTPN1	PTPN1	0.1464
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	PTPN11	PTPN11	-0.1403
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	PTPN6	PTPN6	0.3594
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	RNASEL	RNASEL	0.4636
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	SAMHD1	SAMHD1	-0.5062
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	SOCS3	SOCS3	1.2236
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	STAT1	STAT1	0.0538
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	STAT2	STAT2	0.2951
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	TYK2	TYK2	-0.0222
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	USP18	USP18	0.4152
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	DCLRE1C	DCLRE1C	-0.0825
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	FEN1	FEN1	-0.0440
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	LIG4	LIG4	-1.1272
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	MRE11	MRE11A	-0.0033
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	NHEJ1	NHEJ1	-0.0874
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	POLL	POLL	0.4372
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	POLM	POLM	0.3899
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	PRKDC	PRKDC	-0.3269
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	RAD50	RAD50	-0.0100
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	XRCC4	XRCC4	0.0384
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	XRCC5	XRCC5	-0.1652
GSE207704_deposited_FPKM_T47D_WT_over_KO	KEGG_NHEJ	XRCC6	XRCC6	0.1815
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	ISG15	ISG15	1.9372
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	OAS1	OAS1	0.7688
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFI44	IFI44	3.3875
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFI35	IFI35	2.4900
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFI44L	IFI44L	-0.3021
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFITM1	IFITM1	-0.1888
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	EIF2AK2	EIF2AK2	-0.1905
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TAP1	FASN	-0.0240
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	SP110	SP110	0.0536
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	UBE2L6	UBE2L6	0.3801
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	USP18	USP18	0.3579
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFIH1	IFIH1	0.4497
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	BST2	BST2	4.6841
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	LGALS3BP	LGALS3BP	1.2946
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	ADAR	ADAR	0.0855
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	ISG20	ISG20	0.6321
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	GBP2	GBP2	0.2496
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IRF1	IRF1	0.5336
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PLSCR1	PLSCR1	-0.1875
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	HERC6	HERC6	-0.2570
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFITM3	IFITM3	-0.1446
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	STAT2	STAT2	-0.0164
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFITM2	IFITM2	-0.6572
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	HELZ2	HELZ2	0.4684
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TRIM21	TRIM21	0.9689
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PARP14	PARP14	0.2108
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PARP12	PARP12	0.4891
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	NMI	NMI	0.2920
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	RNF31	RNF31	0.2353
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	HLA-C	HLA-C	0.5209
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TRIM14	TRIM14	0.1168
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TDRD7	TDRD7	0.0098
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PARP9	PARP9	0.6949
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PNPT1	PNPT1	-0.2859
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TRIM25	TRIM25	0.2310
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PSME1	PSME1	0.2345
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	WARS1	WARS	-0.2641
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PSME2	PSME2	0.3557
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TRIM5	TRIM5	0.3900
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	LAP3	LAP3	-0.1439
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	NCOA7	NCOA7	-0.4010
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TMEM140	TMEM140	0.7020
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	GMPR	GMPR	-0.1009
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PSMA3	PSMA3	-0.1914
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	PROCR	PROCR	-0.5737
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IL7	IL7	2.0000
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IFI30	IFI30	-0.7236
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IRF2	IRF2	0.2021
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	CNP	CNP	-0.1051
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TENT5A	FAM46A	-0.3973
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	IL4R	IL4R	0.7662
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	CMTR1	CMTR1	0.2189
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	CD47	CD47	0.1317
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	MOV10	MOV10	-0.3424
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	CASP8	CASP8	0.0744
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TXNIP	TXNIP	0.7114
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	SLC25A28	SLC25A28	0.5154
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	TRAFD1	TRAFD1	0.0359
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	RIPK2	RIPK2	0.0125
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	NUB1	NUB1	0.4231
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	OGFR	OGFR	0.2285
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	MVB12A	MVB12A	0.1900
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_alpha	ELF1	ELF1	0.0974
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	STAT1	STAT1	-0.1058
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ISG15	ISG15	1.9372
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFIT1	IFIT1	0.0405
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFI35	IFI35	2.4900
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TAP1	FASN	-0.0240
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	EIF2AK2	EIF2AK2	-0.1905
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IRF1	IRF1	0.5336
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	OAS3	OAS3	1.2396
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TNFSF10	TNFSF10	-0.1086
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFI44	IFI44	3.3875
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	BST2	BST2	4.6841
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SP110	SP110	0.0536
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFI44L	IFI44L	-0.3021
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFITM3	IFITM3	-0.1446
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	LGALS3BP	LGALS3BP	1.2946
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PML	PML	0.3686
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFIH1	IFIH1	0.4497
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	UBE2L6	UBE2L6	0.3801
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ADAR	ADAR	0.0855
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	STAT2	STAT2	-0.0164
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PLA2G4A	KAT5	0.0988
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TRIM21	TRIM21	0.9689
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	USP18	USP18	0.3579
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	DDX58	DDX58	0.2747
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NMI	NMI	0.2920
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PSMB10	PSMB10	0.0435
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ITGB7	ITGB7	0.6176
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SAMHD1	SAMHD1	-0.1159
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	HERC6	HERC6	-0.2570
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PTPN2	PTPN2	-0.1800
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PARP14	PARP14	0.2108
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TNFAIP2	TNFAIP2	2.3493
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFITM2	IFITM2	-0.6572
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PLSCR1	PLSCR1	-0.1875
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ICAM1	ICAM1	-0.4150
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	WARS1	WARS	-0.2641
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PSME1	PSME1	0.2345
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ISG20	ISG20	0.6321
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IRF2	IRF2	0.2021
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TRIM14	TRIM14	0.1168
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	JAK2	JAK2	0.9551
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PARP12	PARP12	0.4891
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NAMPT	NAMPT	0.9938
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SELP	SEPP1	-0.7630
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	HELZ2	HELZ2	0.4684
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PSME2	PSME2	0.3557
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	RNF31	RNF31	0.2353
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SOD2	SOD2	-0.0624
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TRIM25	TRIM25	0.2310
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	LAP3	LAP3	-0.1439
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PSMA3	PSMA3	-0.1914
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	RNF213	RNF213	0.3322
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PELI1	PELI1	-0.3442
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TXNIP	TXNIP	0.7114
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	GCH1	GCH1	-0.2463
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PNP	PNP	-0.2232
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PTPN6	PTPN6	-0.3064
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SPPL2A	SPPL2A	-0.5386
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IL4R	IL4R	0.7662
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PNPT1	PNPT1	-0.2859
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	BTG1	BTG1	-0.4192
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CASP8	CASP8	0.0744
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFI30	IFI30	-0.7236
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CASP7	CASP7	0.3569
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IL15RA	IL15RA	0.0249
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TRAFD1	TRAFD1	0.0359
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	HLA-DRB1	HLA-DRB1	0.2982
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	MT2A	MT2A	-0.1951
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	RIPK1	RIPK1	0.2399
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TDRD7	TDRD7	0.0098
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	HIF1A	HIF1A	-0.3391
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	EIF4E3	EIF4E3	-0.5009
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	VAMP8	VAMP8	0.1989
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PFKP	PFKP	-0.1472
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ZBP1	IGF2BP1	-0.8258
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	BANK1	BANK1	1.3334
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TOR1B	TOR1B	-0.0721
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	RBCK1	RBCK1	0.1108
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IL7	IL7	2.0000
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	BPGM	BPGM	0.2900
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CMTR1	CMTR1	0.2189
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	AUTS2	AUTS2	-0.9094
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	RIPK2	RIPK2	0.0125
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	MYD88	MYD88	0.1172
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PSMA2	PSMA2	0.3106
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PIM1	PIM1	0.0126
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NOD1	NOD1	1.0401
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CFH	FH	0.1898
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SLC25A28	SLC25A28	0.5154
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	PTPN1	PTPN1	-0.1935
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	TNFAIP3	TNFAIP3	-0.7990
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SSPN	SSPN	0.6203
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NUP93	NUP93	-0.4759
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	MTHFD2	MTHFD2	-0.1351
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CDKN1A	CDKN1A	-0.8315
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IRF4	MUM1	-0.1530
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NFKB1	NFKB1	0.0434
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	LATS2	LATS2	-0.0246
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IRF5	IRF5	0.5851
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ISOC1	ISOC1	-0.1679
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	STAT3	STAT3	-0.0446
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NCOA3	NCOA3	0.0300
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IFNAR2	IFNAR2	0.1105
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	RAPGEF6	RAPGEF6	0.2729
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CASP4	CASP4	0.7381
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	FAS	FAS	-0.5670
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	OGFR	OGFR	0.2285
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ARL4A	ARL4A	0.5148
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	SRI	SRI	0.5588
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	LYSMD2	LYSMD2	-0.6589
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ST3GAL5	ST3GAL5	-0.4565
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	CASP3	CASP3	0.0237
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	NFKBIA	NFKBIA	0.3182
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	METTL7B	METTL7B	-0.5853
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ST8SIA4	ST8SIA4	-0.2082
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	VAMP5	VAMP5	0.3630
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	IL18BP	IL18BP	0.2368
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ZNFX1	ZNFX1	0.1270
GSE207704_deposited_FPKM_T47D_WT_over_KO	Hallmark_IFN_gamma	ARID5B	ARID5B	0.3766
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	ABRAXAS1	FAM175A	0.0513
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	ARTN	ARTN	0.0490
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	ATM	ATM	-0.2606
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	BABAM1	BABAM1	0.0092
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	BABAM2	BRE	-0.2607
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	BARD1	BARD1	-0.0352
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	BRCA1	BRCA1	0.3340
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	BRCC3	DEPDC1B	-0.1004
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	DCLRE1C	DCLRE1C	-0.0825
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	H2AX	H2AFX	0.1345
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	HERC2	HERC2	-0.3455
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	KAT5	KAT5	0.0988
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	LIG4	LIG4	-1.1272
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	LRIF1	LRIF1	-0.3335
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	MRE11	MRE11A	-0.0033
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	NHEJ1	NHEJ1	-0.0874
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	NSD2	WHSC1	-0.0138
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	PAXIP1	PAXIP1	0.4372
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	PIAS4	PIAS4	-0.0917
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	POLL	POLL	0.4372
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	POLM	POLM	0.3899
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	PRKDC	PRKDC	-0.3269
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	RAD50	RAD50	-0.0100
GSE207704_deposited_FPKM_T47D_WT_over_KO	Reactome_NHEJ_no_histone	RNF168	RNF168	-0.0294
